Code, Description, CodeType, Deprecated, Created, Modified, 
126441, Pollachius virens, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
126442, Raniceps raninus, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
126444, Trisopterus esmarkii, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
126445, Trisopterus luscus, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
126446, Trisopterus minutus, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
126447, Brosme brosme, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
126448, Ciliata mustela, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
126450, Enchelyopus cimbrius, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
126458, Gaidropsarus vulgaris, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
126459, Molva dypterygia, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
126461, Molva molva, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
126472, Macrourus berglax, SpecWoRMS, False, 2013-12-09, 2015-12-14, 
126482, Trachyrincus scabrus, SpecWoRMS, False, 2015-02-10, 2015-12-14, 
126484, Merluccius merluccius, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
126493, Lepidion eques, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
126501, Phycis blennoides, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
126503, Urophycis chuss, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
126505, Gasterosteus aculeatus, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
126507, Pungitius pungitius, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
126508, Spinachia spinachia, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
126525, Regalecus glesne, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
126527, Trachipterus arcticus, SpecWoRMS, False, 2013-12-08, 2013-12-08, 
126554, Lophius budegassa, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
126555, Lophius piscatorius, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
126663, Echiodon drummondii, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
126715, Argentina silus, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
126716, Argentina sphyraena, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
126735, Mallotus villosus, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
126736, Osmerus eperlanus, SpecWoRMS, False, 2013-11-27, 2013-11-27, 
126751, Ammodytes marinus, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
126752, Ammodytes tobianus, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
126755, Hyperoplus immaculatus, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
126756, Hyperoplus lanceolatus, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
126758, Anarhichas lupus, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
126761, Blennius ocellaris, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
126792, Callionymus lyra, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
126793, Callionymus maculatus, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
